All,සියලුම
"Store alternative addresses (for shipping to multiple family members and friends)","විකල්ප ලිපින ගබඩා කරන්න (පවුලේ සාමාජිකයන් සහ මිතුරන් කිහිප දෙනෙකුට නැව්ගත කිරීම සඳහා)"
"Please confirm your %store_name account","කරුණාකර ඔබගේ %store_name ගිණුම තහවුරු කරන්න"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","ඔබට පුරනය වීමට පෙර ඔබගේ ustomer_email විද්‍යුත් තැපෑල %cතහවුරු කළ යුතුය (සබැඳිය වලංගු වන්නේ එක් වරක් පමණි):"
"Confirm Your Account","ඔබගේ ගිණුම තහවුරු කරන්න"
"Thank you for confirming your %store_name account.","ඔබගේ %store_name ගිණුම තහවුරු කිරීම ගැන ස්තුතියි."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","අපගේ වෙබ් අඩවියට පුරනය වී මුරපදයක් සැකසීමට, <a href=""%create_password_url"">සබැඳිය</a>මත ක්ලික් කරන්න:"
"Your %store_name email has been changed","ඔබගේ %store_name විද්‍යුත් තැපෑල වෙනස් කර ඇත"
"We have received a request to change the following information associated with your account at %store_name: email.","%store_name: email හි ඔබගේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","ඔබ මෙම ක්‍රියාව අනුමත කර නොමැති නම්, කරුණාකර <a href=""mailto:%store_email"">%store_email</a>හිදී වහාම අප හා සම්බන්ධ වන්න"
"Your %store_name email and password has been changed","ඔබගේ %store_name විද්‍යුත් තැපෑල සහ මුරපදය වෙනස් කර ඇත"
"We have received a request to change the following information associated with your account at %store_name: email, password.","%store_name: විද්‍යුත් තැපෑල, මුරපදය ඔබේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"Reset your %store_name password","ඔබගේ %store_name මුරපදය යළි පිහිටුවන්න"
"There was recently a request to change the password for your account.","ඔබගේ ගිණුම සඳහා මුරපදය වෙනස් කිරීමට මෑතකදී ඉල්ලීමක් විය."
"If you requested this change, set a new password here:","ඔබ මෙම වෙනස ඉල්ලා සිටියේ නම්, මෙහි නව මුරපදයක් සකසන්න:"
"If you did not make this request, you can ignore this email and your password will remain the same.","ඔබ මෙම ඉල්ලීම නොකළේ නම්, ඔබට මෙම විද්‍යුත් තැපෑල නොසලකා හැරිය හැකි අතර ඔබගේ මුරපදය එලෙසම පවතිනු ඇත."
"Your %store_name password has been changed","ඔබගේ %store_name මුරපදය වෙනස් කර ඇත"
"We have received a request to change the following information associated with your account at %store_name: password.","%store_name: password හි ඔබගේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"Checkout as a new customer","නව පාරිභෝගිකයෙකු ලෙස පිටවීම"
"Creating an account has many benefits:","ගිණුමක් නිර්මාණය කිරීමෙන් බොහෝ වාසි ඇත:"
"See order and shipping status","ඇණවුම සහ නැව්ගත කිරීමේ තත්ත්වය බලන්න"
"Track order history","ඇණවුම් ඉතිහාසය නිරීක්ෂණය කරන්න"
"Check out faster","ඉක්මනින් පරීක්ෂා කරන්න"
"Checkout using your account","ඔබගේ ගිණුම භාවිතා කර පිටවීම"
"Show Password","මුරපදය පෙන්වන්න"
"Could not authenticate. Please try again later","සත්‍යාපනය කළ නොහැකි විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න"
"Are you sure you want to delete this address?","ඔබට මෙම ලිපිනය මැකීමට අවශ්‍ය බව විශ්වාසද?"
Weak,දුර්වල
Medium,මධ්යම
Strong,ශක්තිමත්
"Very Strong","ඉතා ශක්තිමත්"
"Invalid date","වලංගු නොවන දිනය"
"The Date of Birth should not be greater than today.","උපන් දිනය අදට වඩා වැඩි නොවිය යුතුය."
"Guest checkout is disabled.","අමුත්තන්ගේ පිටවීම අබල කර ඇත."
"All Customers","සියලුම පාරිභෝගිකයින්"
"Reset password","මුරපදය නැවත සකසන්න"
"Invalidate tokens","ටෝකන අවලංගු කරන්න"
"Now Online","දැන් ඔන්ලයින්"
"Customers Section","පාරිභෝගික අංශය"
"Customer Configuration","පාරිභෝගික වින්‍යාසය"
"Account Sharing Options","ගිණුම් බෙදාගැනීමේ විකල්ප"
"Share Customer Accounts","පාරිභෝගික ගිණුම් බෙදා ගන්න"
"Create New Account Options","නව ගිණුම් විකල්ප සාදන්න"
"Enable Automatic Assignment to Customer Group","පාරිභෝගික කණ්ඩායමට ස්වයංක්‍රීය පැවරීම සබල කරන්න"
"Tax Calculation Based On","මත පදනම්ව බදු ගණනය කිරීම"
"Default Group","පෙරනිමි සමූහය"
"Group for Valid VAT ID - Domestic","වලංගු VAT ID සඳහා කණ්ඩායම - ගෘහස්ථ"
"Group for Valid VAT ID - Intra-Union","වලංගු වැට් බදු හැඳුනුම්පත සඳහා කණ්ඩායම - අන්තර්-යුනියන්"
"Group for Invalid VAT ID","වලංගු නොවන VAT ID සඳහා කණ්ඩායම"
"Validation Error Group","වලංගු කිරීමේ දෝෂ සමූහය"
"Validate on Each Transaction","එක් එක් ගනුදෙනුව මත වලංගු කරන්න"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID මත පදනම්ව ස්වයංක්‍රීය කණ්ඩායම් වෙනස්කම් අක්‍රීය කිරීම සඳහා පෙරනිමි අගය"
"Show VAT Number on Storefront","වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වන්න"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වීමට, වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වන්න විකල්පය ඔව් ලෙස සකසන්න."
"Default Email Domain","පෙරනිමි ඊමේල් වසම"
"Default Welcome Email","පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල"
"Default Welcome Email Without Password","මුරපදයකින් තොරව පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","මුරපදයකින් තොරව පාරිභෝගිකයෙකු නිර්මාණය කර ඇත්නම්, පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල වෙනුවට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ. <br /><br />
                        ""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව විද්‍යුත් තැපැල් අච්චුව තෝරා ඇත."
"Email Sender","ඊමේල් යවන්නා"
"Require Emails Confirmation","ඊමේල් තහවුරු කිරීම අවශ්‍ය වේ"
"Confirmation Link Email","තහවුරු කිරීමේ සබැඳි ඊමේල්"
"Welcome Email","සාදරයෙන් පිළිගනිමු ඊමේල්"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","ගිණුම් තහවුරු කිරීමෙන් පසු පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල වෙනුවට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ. <br /><br />
                        ""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව විද්‍යුත් තැපැල් අච්චුව තෝරා ඇත."
"Generate Human-Friendly Customer ID","මානව හිතකාමී පාරිභෝගික හැඳුනුම්පතක් ජනනය කරන්න"
"Password Options","මුරපද විකල්ප"
"Forgot Email Template","ඊමේල් අච්චුව අමතකයි"
"Remind Email Template","ඊමේල් අච්චුව මතක් කරන්න"
"Reset Password Template","මුරපද අච්චුව නැවත සකසන්න"
"Password Template Email Sender","මුරපද අච්චු ඊමේල් යවන්නා"
"Number of Required Character Classes","අවශ්‍ය අක්ෂර පන්ති ගණන"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","මුරපදයේ අවශ්‍ය විවිධ අක්ෂර පන්ති ගණන: කුඩා අකුරු, ලොකු අකුරු, ඉලක්කම්, විශේෂ අක්ෂර."
"Minimum Password Length","අවම මුරපද දිග"
"Maximum Login Failures to Lockout Account","Lockout ගිණුමට උපරිම ලොගින් අසාර්ථක වීම"
"Use 0 to disable account locking.","ගිණුම් අගුලු දැමීම අක්‍රිය කිරීමට 0 භාවිතා කරන්න."
"Lockout Time (minutes)","අගුලු දැමීමේ කාලය (මිනිත්තු)"
"Account will be unlocked after provided time.","සපයා ඇති කාලයෙන් පසු ගිණුම අගුළු හරිනු ලැබේ."
"Enable Autocomplete on login/forgot password forms","පුරනය වීමේ/අමතක වූ මුරපද පෝරම වල ස්වයං සම්පුර්ණ කිරීම සබල කරන්න"
"Account Information Options","ගිණුම් තොරතුරු විකල්ප"
"Change Email Template","ඊමේල් අච්චුව වෙනස් කරන්න"
"Change Email and Password Template","ඊමේල් සහ මුරපද ආකෘතිය වෙනස් කරන්න"
"Name and Address Options","නම සහ ලිපින විකල්ප"
"Number of Lines in a Street Address","වීදි ලිපිනයක ඇති රේඛා ගණන"
"Valid range: 1-4","වලංගු පරාසය: 1-4"
"Show Prefix","උපසර්ගය පෙන්වන්න"
"The title that goes before name (Mr., Mrs., etc.)","නමට පෙර යන මාතෘකාව (Mr., Mrs, etc.)"
"Prefix Dropdown Options","උපසර්ග පතන විකල්ප"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) වෙන් කළ අගයන්.<br/>විවෘත පෙළ ක්ෂේත්‍රය සඳහා හිස්ව තබන්න."
"Show Middle Name (initial)","මැද නම පෙන්වන්න (මුල්)"
"Always optional.","සෑම විටම විකල්ප."
"Show Suffix","උපසර්ගය පෙන්වන්න"
"The suffix that goes after name (Jr., Sr., etc.)","නමට පසුව යන උපසර්ගය (කනිෂ්ඨ, ජ්‍යෙෂ්ඨ, ආදිය)"
"Suffix Dropdown Options","උපසර්ග පතන විකල්ප"
"Show Date of Birth","උපන් දිනය පෙන්වන්න"
"Show Tax/VAT Number","බදු/වැට් අංකය පෙන්වන්න"
"Show Gender","ලිංගභේදය පෙන්වන්න"
"Show Telephone","දුරකථනය පෙන්වන්න"
"Show Company","සමාගම පෙන්වන්න"
"Show Fax","ෆැක්ස් පෙන්වන්න"
"Login Options","පිවිසුම් විකල්ප"
"Redirect Customer to Account Dashboard after Logging in","ප්‍රවිෂ්ට වීමෙන් පසු පාරිභෝගිකයා ගිණුම් උපකරණ පුවරුව වෙත හරවා යවන්න"
"Customer will stay on the current page if ""No"" is selected.","""නැත"" තෝරා ඇත්නම් පාරිභෝගිකයා වත්මන් පිටුවෙහි රැඳී සිටිනු ඇත."
"Address Templates","ලිපින සැකිලි"
"Text One Line","එක් පේළියකට පෙළ යවන්න"
"Online Customers Options","මාර්ගගත පාරිභෝගික විකල්ප"
"Online Minutes Interval","මාර්ගගත මිනිත්තු පරතරය"
"Leave empty for default (15 minutes).","පෙරනිමිය සඳහා හිස්ව තබන්න (විනාඩි 15)."
"Customer Data Lifetime","පාරිභෝගික දත්ත ජීවිත කාලය"
"Please specify value in minutes.","කරුණාකර මිනිත්තු කිහිපයකින් අගය සඳහන් කරන්න."
"Customer Notification","පාරිභෝගික දැනුම්දීම"
"Assign a Customer Group","පාරිභෝගික කණ්ඩායමක් පවරන්න"
"Are you sure to assign selected customers to new group?","තෝරාගත් පාරිභෝගිකයින් නව කණ්ඩායමකට පැවරීමට ඔබට විශ්වාසද?"
"Customer Grid","පාරිභෝගික ජාලය"
"Rebuild Customer grid index","පාරිභෝගික ජාල දර්ශකය නැවත ගොඩනඟන්න"
"Update Address","ලිපිනය යාවත්කාලීන කරන්න"
"Name Prefix","නම උපසර්ගය"
"Name Suffix","නම උපසර්ගය"
"Are you sure to delete selected address?","තෝරාගත් ලිපිනය මකා දැමීමට ඔබට විශ්වාසද?"
Group,සමූහය
"Add New Customer","නව පාරිභෝගිකයා එක් කරන්න"
"Are you sure you want to delete the selected customers?","ඔබට තෝරාගත් පාරිභෝගිකයින් මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Subscribe to Newsletter","පුවත් පත්‍රිකාවට දායක වන්න"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","ඔබට පුවත් පත්‍රිකාවෙන් තෝරාගත් පාරිභෝගිකයින් දායක නොවීමට අවශ්‍ය බව විශ්වාසද?"
"Unsubscribe from Newsletter","පුවත් පත්‍රිකාවෙන් දායක නොවන්න"
"Customer Since","පාරිභෝගික සිට"
"Confirmed email","තහවුරු කළ විද්‍යුත් තැපෑල"
"Account Created in","ගිණුම නිර්මාණය කර ඇත"
"Tax VAT Number","බදු වැට් අංකය"
"Billing Firstname","බිල්පත් මුල් නම"
"Billing Lastname","බිල්පත් අවසාන නම"
"Account Lock","ගිණුම් අගුල"
"Last Activity","අවසාන ක්‍රියාකාරකම"
"Customer Information","පාරිභෝගික තොරතුරු"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","ඔබේ Magento ස්ථාපනයට වෙබ් අඩවි කිහිපයක් තිබේ නම්, ඔබට පාරිභෝගිකයා නිශ්චිත අඩවියක් සමඟ සම්බන්ධ කිරීමට විෂය පථය සංස්කරණය කළ හැක."
"Disable Automatic Group Change Based on VAT ID","VAT ID මත පදනම්ව ස්වයංක්‍රීය කණ්ඩායම් වෙනස් කිරීම අක්‍රීය කරන්න"
Addresses,ලිපිනයන්
"The customer does not have default billing address","පාරිභෝගිකයාට පෙරනිමි බිල්පත් ලිපිනයක් නොමැත"
"The customer does not have default shipping address","පාරිභෝගිකයාට පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් නොමැත"
"Add/Update Address","ලිපිනය එකතු කරන්න/යාවත්කාලීන කරන්න"
"Edit Account Information","ගිණුම් තොරතුරු සංස්කරණය කරන්න"
"Password forgotten","මුරපදය අමතක වී ඇත"
"You are signed out","ඔබ වරනය වී ඇත"
"Customer Address Attributes","පාරිභෝගික ලිපින ගුණාංග"
"Edit Customer Address Attribute ""%1""","පාරිභෝගික ලිපින ගුණාංගය ""%1"" සංස්කරණය කරන්න"
"New Customer Address Attribute","නව පාරිභෝගික ලිපින ගුණාංගය"
"Lines Count","රේඛා ගණන"
"Valid range 2-20","වලංගු පරාසය 2-20"
"Input Validation","ආදාන වලංගුකරණය"
"Minimum Text Length","අවම පෙළ දිග"
"Maximum Text Length","උපරිම පෙළ දිග"
"Maximum File Size (bytes)","උපරිම ගොනු ප්‍රමාණය (බයිට්)"
"File Extensions","ගොනු දිගු"
"Comma separated. Forbidden file extensions: %1.","කොමාවකින් වෙන් කරන ලද. තහනම් ගොනු දිගු: %1."
"Maximum Image Width (px)","උපරිම රූප පළල (px)"
"Maximum Image Height (px)","උපරිම රූප උස (px)"
"Input/Output Filter","ආදාන/ප්‍රතිදාන පෙරහන"
"Minimal value","අවම අගය"
"Maximum value","උපරිම අගය"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","පාරිභෝගික ජාලයේ තීරු විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","පාරිභෝගික ජාලයේ පෙරහන් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Use in Search Options","සෙවුම් විකල්පවල භාවිතා කරන්න"
"Use in Search Option","සෙවුම් විකල්පය තුළ භාවිතා කරන්න"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","පාරිභෝගික ජාලයේ සෙවුම් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Show on Storefront","වෙළඳසැල ඉදිරිපිට පෙන්වන්න"
"Forms to Use In","භාවිතා කිරීමට පෝරම"
"Manage Label / Options","ලේබලය / විකල්ප කළමනාකරණය කරන්න"
"Visible to Customer","පාරිභෝගිකයාට දෘශ්‍යමාන වේ"
"Customer Attributes","පාරිභෝගික ගුණාංග"
"Edit Customer Attribute ""%1""","""%1"" පාරිභෝගික ගුණාංගය සංස්කරණය කරන්න"
"New Customer Attribute","නව පාරිභෝගික ගුණාංගය"
"Manage Form Types","පෝරම වර්ග කළමනාකරණය කරන්න"
"New Form Type","නව පෝරමය වර්ගය"
"Edit Form Type ""%1""","""%1"" ආකාරයේ ආකෘති පත්‍රය සංස්කරණය කරන්න"
"Form Label","පෝරම ලේබලය"
"All Themes","සියලුම තේමා"
"For Theme","තේමාව සඳහා"
"Form Code","පෝරම කේතය"
"Form Title","පෝරමයේ මාතෘකාව"
"New Fieldset","නව ක්ෂේත්‍ර කට්ටලය"
"Form Type Information","පෝරම වර්ගය තොරතුරු"
"Type Code","කේතය ටයිප් කරන්න"
"Manage Customer Address Attributes","පාරිභෝගික ලිපින ගුණාංග කළමනාකරණය කරන්න"
"You cannot delete this attribute.","ඔබට මෙම ගුණාංගය මකා දැමිය නොහැක."
"You deleted the customer address attribute.","ඔබ පාරිභෝගික ලිපින ගුණාංගය මකා ඇත."
"We can't delete the customer address attribute right now.","අපට දැන් පාරිභෝගික ලිපින ගුණාංගය මකා දැමිය නොහැක."
"You cannot edit this attribute.","ඔබට මෙම ගුණාංගය සංස්කරණය කළ නොහැක."
"Edit Customer Address Attribute","පාරිභෝගික ලිපින ගුණාංගය සංස්කරණය කරන්න"
"You saved the customer address attribute.","ඔබ පාරිභෝගික ලිපින ගුණාංගය සුරකින ලදී."
"We can't save the customer address attribute right now.","අපට දැන් පාරිභෝගික ලිපින ගුණාංගය සුරැකිය නොහැක."
"Manage Customer Attributes","පාරිභෝගික ගුණාංග කළමනාකරණය කරන්න"
"You deleted the customer attribute.","ඔබ පාරිභෝගික ගුණාංගය මකා ඇත."
"The attribute no longer exists.","ගුණාංගය තවදුරටත් නොපවතී."
"Edit Customer Attribute","පාරිභෝගික ගුණාංගය සංස්කරණය කරන්න"
"You saved the customer attribute.","ඔබ පාරිභෝගික ගුණාංගය සුරකින ලදී."
"We can't save the form type right now.","අපට දැන් පෝරමය වර්ගය සුරැකිය නොහැක."
"This system form type cannot be deleted.","මෙම පද්ධති ආකෘති වර්ගය මකා දැමිය නොහැක."
"The form type has been deleted.","පෝරම වර්ගය මකා ඇත."
"We can't delete the form type right now.","අපට දැන් පෝරමය වර්ගය මකා දැමිය නොහැක."
"Customer Address Registration","පාරිභෝගික ලිපිනය ලියාපදිංචි කිරීම"
"Customer Account Address","පාරිභෝගික ගිණුම් ලිපිනය"
"Customer Registration","පාරිභෝගික ලියාපදිංචිය"
"Customer Account Edit","පාරිභෝගික ගිණුම් සංස්කරණය"
"Admin Checkout","පරිපාලක පිටවීම"
"Use helper with defined EAV entity.","නිර්වචනය කළ EAV ආයතනය සමඟ සහායක භාවිතා කරන්න."
"Length Only","දිග පමණි"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","උපලක්ෂණ කේතය අනුලකුණු %1 ක් හෝ ඊට අඩු විය යුතුය. කේතය නැවත ඇතුළු කර නැවත උත්සාහ කරන්න."
"Please correct the value for file extensions.","කරුණාකර ගොනු දිගු සඳහා අගය නිවැරදි කරන්න."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","දෝෂයක් හේතුවෙන් ගුණාංගය වලංගු කළ නොහැකි විය. ඔබේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න. දෝෂය දිගටම පවතින්නේ නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Attribute code already exists","උපලක්ෂණ කේතය දැනටමත් පවතී"
"Fieldset Properties","ෆීල්ඩ්සෙට් ගුණාංග"
"Fieldset Title","ක්ෂේත්ර කට්ටල මාතෘකාව"
"Fieldset Code","ක්ෂේත්ර කට්ටල කේතය"
"A fieldset with the same code already exists.","එකම කේතය සහිත ක්ෂේත්‍ර කට්ටලයක් දැනටමත් පවතී."
"This fieldset is not empty!","මෙම ක්ෂේත්‍ර කට්ටලය හිස් නොවේ!"
"Choose Website:","වෙබ් අඩවිය තෝරන්න:"
"This is your default billing address.","මෙය ඔබගේ පෙරනිමි බිල්පත් ලිපිනයයි."
"This is your default shipping address.","මෙය ඔබගේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයයි."
Upload,"උඩුගත කරන්න"
"Click here or drag and drop to add files.","ගොනු එක් කිරීමට මෙතැන ක්ලික් කරන්න හෝ ඇද දමන්න."
"Customer Address","පාරිභෝගික ලිපිනය"
"AVS result code","AVS ප්‍රතිඵල කේතය"
"CVN result code","CVN ප්‍රතිඵල කේතය"
"Card number","කාඩ්පත් අංකය"
"Card expiry date","කාඩ්පත කල් ඉකුත්වන දිනය"
Decision,තීරණය
"Risk Score","අවදානම් ලකුණු"
"Risk Factor","අවදානම් සාධකයක්"
"Reference number","යොමු අංකය"
"Excessive address change. The customer changed the billing address two or more times in the last six months","අධික ලිපිනය වෙනස් කිරීම. පාරිභෝගිකයා පසුගිය මාස හය තුළ බිල්පත් ලිපිනය දෙවරක් හෝ වැඩි වාර ගණනක් වෙනස් කළේය"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","කාඩ්පත් BIN හෝ අවසර අවදානම. අවදානම් සාධක ae ක්‍රෙඩිට් කාඩ් BIN සහ/හෝ කාඩ්පත් අවසර පිරික්සුම් වලට අදාළ වේ"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","ගිණුම් අංක විශාල ප්‍රමාණයක්. පාරිභෝගිකයා පසුගිය මාස හය තුළ ක්‍රෙඩිට් කාඩ් අංක හයකට වඩා භාවිත කළේය"
"Email address impact. The customer uses a free email provider, or the email address is risky","විද්‍යුත් තැපැල් ලිපිනයේ බලපෑම. පාරිභෝගිකයා නොමිලේ ඊමේල් සපයන්නෙකු භාවිතා කරයි, නැතහොත් ඊමේල් ලිපිනය අවදානම් සහිතයි"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","ධනාත්මක ලැයිස්තුව. පාරිභෝගිකයා ඔබේ ධනාත්මක ලැයිස්තුවේ සිටී. සරල ඇණවුම භාවිතා කරමින් තීරණ කළමනාකරු සංවර්ධක මාර්ගෝපදේශය AP ජනවාරි 201 10 ඇමුණුම් තොරතුරු සහ පිළිතුරු කේතය"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","සෘණ ලැයිස්තුව. මෙම ඇණවුම සඳහා ගිණුම් අංකය, වීදි එකතු කිරීමේ ලිපිය, ඊමේල් ලිපිනය හෝ IP ලිපිනය ඔබගේ සෘණ ලැයිස්තුවේ දිස්වේ"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","භූ ස්ථානගත නොගැලපීම්. පාරිභෝගිකයාගේ ඊමේල් වසම, දුරකථන අංකය, බිල්පත් ලිපිනය, නැව්ගත කිරීමේ ලිපිනය, හෝ IP ලිපිනය සැක සහිතය"
"Excessive name changes. The customer changed the name two or more times in the last six months","අධික නම් වෙනස් වීම. පාරිභෝගිකයා පසුගිය මාස හය තුළ දෙවරක් හෝ වැඩි වාර ගණනක් නම වෙනස් කළේය"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","අන්තර්ජාලයේ නොගැලපීම්. IP ලිපිනය සහ ඊමේල් වසම බිල්පත් ලිපිනයට අනුකූල නොවේ"
"Nonsensical input. The customer name and address fields contain meaningless words or language","විකාර ආදානය. පාරිභෝගික නාමය සහ ලිපින ක්ෂේත්‍රවල තේරුමක් නැති වචන හෝ භාෂාවක් අඩංගු වේ"
"Obscenities. The customer’s input contains obscene words","අසභ්ය දේවල්. පාරිභෝගිකයාගේ ආදානයේ අසභ්‍ය වචන අඩංගු වේ"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","අනන්‍යතා රූපකරණය. දන්ත මූලද්‍රව්‍යයක බහුවිධ අගයන් වෙනස් අනන්‍යතා මූලද්‍රව්‍යයක අගයකට සම්බන්ධ වේ. උදාහරණයක් ලෙස, m ltiple දුරකථන අංක තනි ගිණුම් අංකයකට සම්බන්ධ කර ඇත"
"Phone inconsistencies. The customer’s phone number is suspicious","දුරකථන නොගැලපීම්. පාරිභෝගිකයාගේ දුරකථන අංකය සැක සහිතය"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","අවදානම් අනුපිළිවෙල. ගනුදෙනුව, පාරිභෝගික සහ වෙළඳ තොරතුරු බහුවිධ අධි අවදානම් සහසම්බන්ධතා පෙන්වයි"
"Time hedge. The customer is attempting a purchase outside of the expected hours","ටයිම් හෙජ්. පාරිභෝගිකයා අපේක්ෂිත පැය ගණනින් පිටත මිලදී ගැනීමට උත්සාහ කරයි"
"Unverifiable address. The billing or shipping address cannot be verified","සත්‍යාපනය කළ නොහැකි ලිපිනය. බිල්පත් හෝ නැව්ගත කිරීමේ ලිපිනය සත්‍යාපනය කළ නොහැක"
"Velocity. The account number was use  many times in the past 15 minutes","ප්‍රවේගය. ගිණුම් අංකය පසුගිය විනාඩි 15 තුළ බොහෝ වාර ගණනක් භාවිත කර ඇත"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","සැක සහිත ලෙස සලකුණු කර ඇත. බිල්පත් හෝ නැව්ගත කිරීමේ ලිපිනය කලින් සැක සහිත ලෙස සලකුණු කළ ලිපිනයකට සමාන වේ"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","තෑගි ඇණවුම. බිල්පත් සහ නැව්ගත කිරීමේ ලිපිනවල වීදි ලිපිනය, නගරය, ප්‍රාන්තය හෝ රට සහසම්බන්ධ නොවේ"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","වලංගු නොවන අගයක්. ඉල්ලීමෙහි අනපේක්ෂිත අගයක් අඩංගු බැවින්, පෙරනිමි අගයක් ආදේශ කරන ලදී. ගනුදෙනුව තවමත් ක්‍රියාත්මක කළ හැකි වුවද, ඇණවුමේ අසාමාන්‍යතා සඳහා ඉල්ලීම ප්‍රවේශමෙන් පරීක්ෂා කරන්න"
"Unknown factor. Please contact Cybersource customer service","නොදන්නා සාධකය. කරුණාකර Cybersource පාරිභෝගික සේවාව අමතන්න"
"Payment Token Build Error.","ගෙවීම් ටෝකන් ගොඩනැගීමේ දෝෂය."
"Your payment has been declined. Please try again.","ඔබේ ගෙවීම ප්‍රතික්ෂේප කර ඇත. කරුණාකර නැවත උත්සාහ කරන්න."
"CC type field should be provided","CC වර්ගයේ ක්ෂේත්‍රයක් සැපයිය යුතුය"
"Gateway validation error","ද්වාර වලංගු කිරීමේ දෝෂයකි"
"Risk Factor Q","අවදානම් සාධකය Q"
"Risk Factor V","අවදානම් සාධකය V"
Cybersource,"සයිබර් මූලාශ්රය"
"Profile ID","පැතිකඩ හැඳුනුම්පත"
"Access Key","ප්රවේශ යතුර"
"Secret Key","රහස් යතුර"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL එක ඔබේ Cybersource ගිණුමේ ගනුදෙනු ප්‍රතිචාර පිටුව ලෙස සැකසිය යුතුය."
"Is admin panel works on the different domain?","පරිපාලක පැනලය විවිධ වසම් මත ක්‍රියා කරයිද?"
"Admin Profile ID","පරිපාලක පැතිකඩ ID"
"Admin Access Key","පරිපාලක ප්රවේශ යතුර"
"Admin Secret Key","පරිපාලක රහස් යතුර"
"Admin Webhook URL","පරිපාලක Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","ක්‍රෙඩිට් කාඩ් වර්ගයේ ක්ෂේත්‍රය සැපයිය යුතුය. ක්ෂේත්‍රය තෝරා නැවත උත්සාහ කරන්න."
